date,close
2024-07-28,68244.30
2024-06-10,69497.73
2025-05-13,104131.06
2025-04-15,83629.78
2024-12-23,94764.56
2024-10-12,63187.47
2024-09-07,54156.33
2024-07-15,64757.16
2025-02-04,97795.05
2025-02-01,100623.85
2024-12-05,97044.23
2024-11-13,90493.82
2024-08-07,55148.10
2024-08-06,56048.08
2024-06-23,63171.43
2025-04-20,85177.34
2025-04-01,85170.37
2025-02-02,97676.52
2024-11-27,95951.19
2024-11-25,93000.01
2024-09-06,53950.01
2025-05-10,104821.19
2025-03-07,86756.98
2024-11-09,76716.06
2024-10-25,66564.51
2024-09-21,63362.74
2024-08-29,59364.47
2024-08-12,59358.78
2024-06-30,62668.26
2025-03-27,87217.48
2025-02-19,96632.03
2024-09-19,62960.14
2024-06-20,64840.88
2024-06-18,65152.80
2025-03-31,82534.32
2025-03-28,84381.80
2025-03-24,87523.62
2024-10-04,62090.71
2024-08-03,60674.93
2024-07-03,60145.01
2024-06-12,68248.60
2025-05-22,111722.53
2025-05-04,94272.55
2025-04-17,84961.97
2025-02-14,97509.03
2024-10-30,72322.91
2025-05-24,107794.01
2025-03-30,82379.98
2025-02-03,101460.20
2025-01-25,104733.56
2024-12-06,99891.35
2024-10-16,67608.44
2024-10-09,60578.28
2024-09-04,57971.00
2025-02-21,96157.03
2024-11-23,97778.77
2024-11-02,69358.94
2024-08-30,59112.77
2024-08-19,59452.67
2024-08-09,60862.13
2024-07-16,65088.99
2024-06-25,61789.71
2025-04-18,84466.47
2024-10-07,62200.28
2024-07-14,60808.42
2024-06-28,60313.35
2025-04-04,83860.16
2025-03-02,94265.48
2025-02-17,95781.80
2025-01-18,104435.00
2024-09-12,58137.54
2024-08-23,64086.72
2024-07-20,67163.83
2024-06-19,64943.79
2025-04-05,83498.25
2025-02-05,96638.33
2024-12-13,101428.75
2025-05-23,107329.61
2025-05-18,106473.46
2025-04-24,94021.96
2024-08-01,65288.18
2024-06-16,66628.75
2025-02-09,96475.82
2024-12-03,95924.52
2024-11-05,69380.73
2024-09-15,59122.33
2025-04-09,82594.75
2025-01-05,98345.33
2024-10-03,60744.99
2025-05-17,103161.07
2024-11-22,99024.03
2024-08-31,58968.37
2024-07-02,62040.22
2025-04-25,94708.79
2025-02-27,84625.19
2025-05-06,96839.17
2025-03-17,84011.40
2025-01-01,94383.59
2024-12-22,95087.75
2024-10-13,62845.30
2024-09-24,64272.93
2024-09-11,57352.79
2025-03-29,82616.83
2025-03-19,86877.96
2024-12-28,95130.82
2024-12-25,99346.28
2024-11-01,69467.29
2024-09-30,63301.25
2024-08-24,64179.63
2024-07-26,67924.08
2025-04-13,83733.07
2025-03-05,90603.73
2024-12-18,100150.73
2024-06-13,66738.85
2025-03-22,83852.03
2024-12-12,100030.47
2024-09-23,63338.87
2024-09-18,61769.18
2024-06-22,64235.01
2025-04-02,82490.08
2025-01-15,100510.23
2025-01-12,94509.62
2024-09-10,57645.59
2025-05-16,103500.03
2025-05-01,96524.98
2025-03-13,81073.43
2025-02-18,95607.40
2025-02-16,96119.88
2024-09-25,63130.89
2025-02-23,96265.98
2025-01-26,102563.00
2025-04-30,94182.54
2025-04-16,84028.72
2025-01-20,102145.43
2024-12-20,97765.00
2024-11-24,98028.18
2024-10-22,67380.08
2024-09-14,60012.35
2024-08-13,60603.19
2025-05-20,106883.24
2025-02-06,96564.62
2024-12-16,106099.81
2024-11-08,76566.73
2024-07-31,64609.62
2024-06-17,66481.81
2025-02-20,98347.20
2025-02-08,96476.25
2024-10-27,67943.19
2024-07-21,68181.28
2025-03-25,87427.88
2025-01-21,106159.26
2025-04-12,85271.01
2025-01-02,96903.19
2024-12-04,98746.24
2024-11-19,92435.89
2024-10-24,68156.84
2024-10-01,60790.00
2024-07-23,65939.24
2025-03-21,84061.96
2024-12-17,106136.99
2024-10-10,60279.53
2025-02-25,88583.74
2025-01-13,94506.45
2024-12-21,97230.08
2024-12-14,101399.99
2024-12-09,97324.81
2024-11-16,90636.24
2024-11-10,80428.92
2024-10-08,62122.02
2025-05-11,104137.62
2025-04-08,76251.64
2025-03-16,82562.57
2024-12-29,93563.35
2024-08-28,59045.88
2024-07-06,58244.75
2025-05-14,103545.38
2025-03-18,82698.76
2025-01-10,94701.18
2024-11-17,89886.69
2024-08-21,61163.28
2025-05-21,109699.54
2025-05-15,103786.43
2025-04-27,93780.57
2025-01-08,95036.63
2024-12-26,95669.49
2024-09-02,59139.83
2025-05-02,96929.81
2025-04-28,95042.57
2025-03-26,86926.01
2024-11-14,87340.40
2024-10-23,66601.11
2024-09-13,60543.35
2024-08-26,62840.00
2024-07-01,62830.13
2024-11-21,98439.09
2024-09-03,57468.84
2024-07-08,56699.43
2024-06-26,60816.68
2025-01-30,104742.64
2024-08-27,59439.64
2024-07-25,65795.42
2024-07-04,57042.14
2025-05-25,108085.33
2025-05-12,102800.21
2025-01-11,94565.02
2024-11-07,75920.00
2024-07-29,66771.45
2025-03-09,80699.17
2025-02-15,97596.94
2024-10-06,62810.86
2024-09-22,63577.66
2024-07-13,59224.58
2024-07-12,57909.03
2024-07-11,57340.77
2025-03-03,86161.10
2025-02-12,97862.53
2025-01-09,92547.44
2024-12-10,96660.76
2024-11-15,91058.36
2024-11-12,88035.43
2024-09-16,58208.75
2024-09-08,54881.11
2025-03-11,82914.51
2025-01-23,103926.36
2025-01-07,96941.98
2024-09-05,56156.82
2024-08-18,58437.90
2024-08-14,58690.62
2024-07-30,66169.68
2024-12-19,97372.21
2024-12-01,97263.18
2024-11-26,91929.54
2024-11-03,68738.18
2024-10-29,72724.35
2024-10-28,69924.50
2025-04-14,84590.36
2025-04-10,79552.34
2025-01-24,104850.27
2024-11-30,96465.42
2024-10-17,67402.33
2024-09-01,57299.00
2024-08-25,64251.93
2025-05-05,94733.99
2025-04-07,79140.01
2025-01-06,102279.41
2024-11-18,90520.30
2024-08-20,59017.59
2024-06-21,64120.28
2025-03-12,83659.43
2025-02-28,84297.73
2025-01-22,103667.11
2025-01-19,101211.13
2025-01-14,96534.96
2024-09-20,63210.69
2024-08-11,58722.49
2025-03-01,86018.76
2024-10-31,70197.83
2024-10-19,68363.73
2024-07-09,58047.86
2024-07-05,56639.43
2025-04-23,93740.92
2025-04-06,78370.75
2025-03-20,84183.42
2024-11-11,88770.73
2024-10-14,66065.65
2024-09-17,60312.60
2024-07-17,64085.81
2025-03-15,84351.46
2025-02-24,91510.82
2024-12-30,92620.71
2025-04-11,83380.47
2025-04-03,83174.33
2024-11-06,75646.55
2024-10-21,67346.15
2024-10-02,60631.37
2024-07-22,67558.22
2024-07-07,55854.09
2025-01-31,102411.26
